Htc HD2 T8585 leo оригинал,500   ₽,Речной вокзал,https://www.avito.ru/moskva/telefony/htc_hd2_t8585_leo_original_677585551
Htc m7,1 500   ₽,Выставочная,https://www.avito.ru/moskva/telefony/htc_m7_1768383323
HTC Desire HD A9191,5 000   ₽,Новые Черемушки,https://www.avito.ru/moskva/telefony/htc_desire_hd_a9191_944319901
HTC Desire C Black На запчасти,400   ₽,Римская,https://www.avito.ru/moskva/telefony/htc_desire_c_black_na_zapchasti_1079807367
HTC ONE M9,8 000   ₽,Озёрная,https://www.avito.ru/moskva/telefony/htc_one_m9_1799290486
HTC P3450 На запчасти,400   ₽,Римская,https://www.avito.ru/moskva/telefony/htc_p3450_na_zapchasti_663602733
HTC wildfire S,500   ₽,Выхино,https://www.avito.ru/moskva/telefony/htc_wildfire_s_1818467790
HTC Wildlife A3333 На запчасти,500   ₽,Римская,https://www.avito.ru/moskva/telefony/htc_wildlife_a3333_na_zapchasti_1052173511
HTC Radar На запчасти,400   ₽,Римская,https://www.avito.ru/moskva/telefony/htc_radar_na_zapchasti_1353264600
Аккумулятор HTC One M8/HTC One M8 Dual (B0P6B100),500   ₽,Савеловская,https://www.avito.ru/moskva/telefony/akkumulyator_htc_one_m8htc_one_m8_dual_b0p6b100_775573421
HTC Sensation XE,2 000   ₽,Новогиреево,https://www.avito.ru/moskva/telefony/htc_sensation_xe_1607588962
HTC Desire Dual Sim Rus,900   ₽,Измайлово,https://www.avito.ru/moskva/telefony/htc_desire_dual_sim_rus_912150466
Htc m8,2 000   ₽,Лесопарковая,https://www.avito.ru/moskva/telefony/htc_m8_1764615492
Смартфон HTC ONE m7 32Gb,4 000   ₽,Улица академика Янгеля,https://www.avito.ru/moskva/telefony/smartfon_htc_one_m7_32gb_1096945104
HTC Breeze 100 На запчасти,500   ₽,Римская,https://www.avito.ru/moskva/telefony/htc_breeze_100_na_zapchasti_687830577
Чехол HTC desire 820 mini,150   ₽,Новогиреево,https://www.avito.ru/moskva/telefony/chehol_htc_desire_820_mini_837194200
HTC,4 500   ₽,Беломорская,https://www.avito.ru/moskva/telefony/htc_1804777675
HTC Wildfire S,500   ₽,Теплый стан,https://www.avito.ru/moskva/telefony/htc_wildfire_s_1818374233
Аккумулятор HTC Desire V/HTC Desire X (BL11100),500   ₽,Савеловская,https://www.avito.ru/moskva/telefony/akkumulyator_htc_desire_vhtc_desire_x_bl11100_775476820
HTC Desire U Dual Sim На запчасти,500   ₽,Римская,https://www.avito.ru/moskva/telefony/htc_desire_u_dual_sim_na_zapchasti_1653741219
"HTC U Play (оригинал, идеальное состояние)",7 000   ₽,Бауманская,https://www.avito.ru/moskva/telefony/htc_u_play_original_idealnoe_sostoyanie_1816031249
Аккумулятор HTC One M9/HTC One M9+ (HTC B0PGE100),500   ₽,Савеловская,https://www.avito.ru/moskva/telefony/akkumulyator_htc_one_m9htc_one_m9_htc_b0pge100_775577336
HTC U Ultra 64Gb,8 500   ₽,Новогиреево,https://www.avito.ru/moskva/telefony/htc_u_ultra_64gb_1793513550
Аккумулятор HTC Desire 728/HTC One E9 (B0PJX100),500   ₽,Савеловская,https://www.avito.ru/moskva/telefony/akkumulyator_htc_desire_728htc_one_e9_b0pjx100_775656326
Htc wildfire a3333,800   ₽,Южная,https://www.avito.ru/moskva/telefony/htc_wildfire_a3333_857963741
Htc 10,9 000   ₽,Селигерская,https://www.avito.ru/moskva/telefony/htc_10_1797602202
Смартфон htc p3300,2 000   ₽,Красногвардейская,https://www.avito.ru/moskva/telefony/smartfon_htc_p3300_1489398121
Телефоны HTC,3 000   ₽,Селигерская,https://www.avito.ru/moskva/telefony/telefony_htc_1801528681
Hts,4 500   ₽,Лихоборы,https://www.avito.ru/moskva/telefony/hts_1791760283
"Дисплей HTC One mini, комплект с сенсором",900   ₽,Савеловская,https://www.avito.ru/moskva/telefony/displey_htc_one_mini_komplekt_s_sensorom_888851377
Экран с тачскрином для HTC One X S720e PJ46100 нов,1 000   ₽,Планерная,https://www.avito.ru/moskva/telefony/ekran_s_tachskrinom_dlya_htc_one_x_s720e_pj46100_nov_984623196
HTC D830u,3 600   ₽,Селигерская,https://www.avito.ru/moskva/telefony/htc_d830u_1800272272
Телефон htc,500   ₽,Строгино,https://www.avito.ru/moskva/telefony/telefon_htc_1793336101
HTC Touch diamond P 3700,800   ₽,Багратионовская,https://www.avito.ru/moskva/telefony/htc_touch_diamond_p_3700_1820290302
Телефон HTC,2 800   ₽,Славянский бульвар,https://www.avito.ru/moskva/telefony/telefon_htc_1804199991
HTC desire 526g dual sim,2 500   ₽,Локомотив,https://www.avito.ru/moskva/telefony/htc_desire_526g_dual_sim_1095100007
Смартфон HTC One X,2 800   ₽,Щелковская,https://www.avito.ru/moskva/telefony/smartfon_htc_one_x_1794379564
HTC Desire 830 dual sim,4 500   ₽,Солнцево,https://www.avito.ru/moskva/telefony/htc_desire_830_dual_sim_1761532054
HTC U Play,4 000   ₽,Лубянка,https://www.avito.ru/moskva/telefony/htc_u_play_1807682439
HTC U11 6/128,8 000   ₽,Пятницкое шоссе,https://www.avito.ru/moskva/telefony/htc_u11_6128_1792766752
HTC P3600,300   ₽,Коптево,https://www.avito.ru/moskva/telefony/htc_p3600_1122979704
HTC U Play 64Gb (утопленник),4 000   ₽,Новогиреево,https://www.avito.ru/moskva/telefony/htc_u_play_64gb_utoplennik_1793339336
HTC Desire X,799   ₽,Новопеределкино,https://www.avito.ru/moskva/telefony/htc_desire_x_1803768302
HTC D626ph,4 000   ₽,Сокол,https://www.avito.ru/moskva/telefony/htc_d626ph_1795876715
